year,Avg Temp
2001,15.568182
2002,15.720833
2003,15.933333
2004,15.6375
2005,15.341667
2006,15.15625
2007,15.4875
2008,15.25
2009,15.6875
2010,15.6
2011,15.7875
2012,15.827778
2013,15.891667
2014,15.6625
2015,16.42
2016,16.577273
2017,16.041667
2018,15.175
2019,15.56875
2020,14.514286
