Year,Average
2007,20.525
2008,20.379167
2009,21.091667
2010,20.733333
2011,20.966667
2012,20.645833
2013,20.720833
2014,21.058333
2015,21.629167
2016,22.2875
2017,21.854167
2018,21.6
2019,20.75
2020,21.525
