Year,Max,Year,Min
1995,20.3583333333333,1995,9.06666666666667
1996,20.1583333333333,1996,8.90833333333334
2008,22.6,2008,6.55
2009,20.7444444444444,2009,9.92222222222222
2010,20.3083333333333,2010,13.3166666666667
2011,21.91,2011,13.72
2012,21.1,2012,14.5125
2013,20.8,2013,14.51
2014,20.86,2014,14.84
2015,20.7444444444444,2015,10.6888888888889
2016,20.3,2016,14.2
2017,25.2666666666667,2017,7.3
