Year,Average
1995,21.541667
1996,21.266667
1997,21.538889
1998,19.96875
1999,19.765
2000,20.525
2001,21.133333
2002,22.116667
2003,21.3875
2004,21.5
2005,21.427083
2006,21.983333
2007,21.395833
2008,21.191667
2009,21.929167
2010,21.709091
2011,18.995
2012,21.2125
2013,22.08125
