Year,Avg Temp
1995,14.7125
1996,14.533333
2008,14.575
2009,15.333333
2010,16.8125
2011,17.815
2012,17.80625
2013,17.655
2014,17.85
2015,15.716667
2016,17.25
2017,16.283333
