Year,MaX Temp,Min Temp
2007,21.9,0.3
2008,22.775,9.475
2009,22.7454545454545,11.06
2010,22.61,10.89
2011,23.6833333333333,10.9
2012,23.6,8
2013,23.4333333333333,6.36666666666667
2014,22.0916666666667,7.00833333333333
2015,22.9083333333333,6.375
2016,22.7833333333333,6.68333333333333
2017,22.9727272727273,5.72727272727273
2018,22.35,6.95
2020,22.55,11.475
