Year,Average
1995,18.7375
1996,18.570833
1997,18.979167
1998,19.069091
1999,18.668182
2000,18.690404
2001,18.645833
2002,19.233333
2003,19.1
2004,18.825
2005,18.745833
2006,18.991667
2007,19.091667
2008,18.575
2009,19.391667
2010,19.058333
2011,18.725
2012,18.679167
2013,18.7625
2014,18.879167
2015,19.479167
2016,19.420833
2017,18.759091
2018,19.241667
2019,18.575
2020,16.45
