Year,Average
2007,20.8
2008,22.6
2009,24.783333
2010,22.35
2011,22.6125
2012,24.725758
2013,25.2
2014,23.333333
2015,25.208333
2016,25.495833
2017,24.909091
2018,25.347778
2019,25.05
2020,25.275
