Year,Average
1995,16.675
1996,16.675758
1997,16.729167
1998,16.604167
1999,16.908333
2000,17
2001,15.849242
2002,16.316667
2003,15.8875
2004,15.883333
2005,15.991667
2006,15.883333
2007,15.791667
2008,15.613636
2009,15.383333
2010,15.404167
2011,15.152652
2012,15.040909
2013,15.295833
2014,15.05
2015,15.95
2016,15.822727
2017,14.804545
2018,15.1
2019,14.925
2020,16.08
