Year,Average
2006,23.39375
2007,23.166667
2008,22.993561
2009,22.719697
2010,22.783333
2011,23.942208
2012,23.189286
2013,23.491558
2014,23.925
2015,24.204167
2016,23.8375
2017,23.666667
2018,23.570833
2019,24.175
2020,24.033333
