Year,Average
2006,12.266667
2007,11.781818
2008,11.9875
2009,12.479167
2010,12.4125
2011,12.3875
2012,12.316667
2013,12.523611
2014,12.533333
2015,13.508333
2016,13.116667
2017,12.916667
2018,12.411806
2019,11.95
2020,13.49
