Year,Max,Min
2013,29.575,14.7875
2014,30.58333,15.025
2015,31.49167,15.3916666666667
2016,30.5,15.65
2017,31.725,14.2333333333333
2018,30.62,13.44
2019,28.35,10.9
2020,30.2714285714286,16.5571428571429
