Year,Average
1995,22.635714
1996,21.416667
1997,21.083333
1998,20.396429
1999,23.016667
2000,23.158333
2001,23.509091
2002,21.75
2003,22.891667
2004,22.183333
2005,20.85
2006,22.6375
2007,21.791667
2008,21.578333
2009,22.691667
2010,21.9875
2011,21.770833
2012,21.9375
2013,22.4375
2014,22.9125
2015,22.995833
2016,22.220833
2017,22.04
2018,22.066667
2019,24.85
2020,22.857145
