year,Avarage
1995,19.695833
1996,19.383333
1997,19.8875
1998,20.345833
1999,19.825
2000,19.666667
2001,19.9375
2002,20.8125
2003,20.379167
2004,20.358333
2005,20.175
2006,20.391667
2007,20.241667
2008,19.9625
2009,20.720833
2010,20.258333
2011,20.279167
2012,20.170833
2013,20.0875
2014,20.183333
2015,21.141667
2016,20.891667
2017,22.065
2018,20.028571
2019,19.477778
2020,20.63125
